primary_energy_consumption,year,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
47.112,2019,37856125.0,73085701943.0,9.971,0.0,0.0,0.0,0.0,0.0,0.0,0.433,116.44,-5.711,-0.106,1696.895,14.993,2.113,0.08,-4.104,-1.183,4166.35,40.7945,5.479,6.311,6.37,168.269,1.46,17.3305,1.331,0.619,1244.489,0.645,0.1815,0.1875,4.755,0.18,24077.301,188.123,12.329,81.358,0.5095,0.072,49.167,0.0,0.0,5931.444,1.4395,2.997,17430.287,161.5675,0.0,19.765,0.17,-4.0045,-0.006500000000000001,6.234,32.227,1.22,485.224,83.562,3.4735,1.646,0.029,30.25,33.812,1.28,3952.095,87.671,18.642,4.91,77.08,2.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7745,0.27849999999999997,105.578,2.642,0.1,11748.93,-0.28,0.07900000000000001,19088.549,92.131,6.849,39.774,1.3385,0.0,0.0,2.887,0.0205,0.0,0.0,147.846,0.0,0.0,0.85,38.567,1.3545,0.02,18.994,33.812,1.28,3035.644,87.671,11.438500000000001,15.896,0.051000000000000004,0.34550000000000003,1.585,0.06,63.453,4.11,0.254,10.491,0.054,0.501,0.0,0.0,132.794,0.0,0.556
24.898,2019,2885011.0,33289747424.0,9.971,0.0,0.0,0.0,0.0,0.0,0.0,0.433,23.08,-5.711,-0.106,1696.895,14.993,0.0,0.0,-4.104,-1.183,4166.35,40.7945,0.0,6.311,7.61,2637.772,5.2,17.3305,-11.058,-3.096,8630.006,0.748,0.1815,0.1875,0.0,0.0,24077.301,188.123,0.0,81.358,0.5095,0.072,49.167,0.0,0.0,5931.444,1.4395,2.997,17430.287,161.5675,0.0,19.765,0.12,-4.0045,-0.006500000000000001,6.234,1795.487,5.18,485.224,99.615,3.4735,1.646,0.029,30.25,1802.419,5.2,3952.095,100.0,18.642,2.41,31.669,2.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7745,0.27849999999999997,105.578,0.0,0.0,11748.93,-0.28,0.07900000000000001,19088.549,92.131,0.0,39.774,1.3385,0.0,0.0,2.887,0.0205,0.0,0.0,147.846,0.0,0.0,0.85,1802.419,1.3545,0.02,18.994,1802.419,5.2,3035.644,100.0,11.438500000000001,15.896,0.051000000000000004,0.34550000000000003,6.932,0.02,63.453,0.385,0.254,10.491,0.054,0.501,0.0,0.0,132.794,0.0,0.556
1.444,2019,50230.0,62427096792.0,9.971,0.0,0.0,0.0,0.0,0.0,0.0,0.433,687.5,-5.711,-0.106,1696.895,14.993,0.0,0.0,-4.104,-1.183,4166.35,40.7945,0.0,6.311,0.16,3185.347,0.16,17.3305,0.0,0.0,28756.145,0.918,0.1815,0.1875,3185.347,0.16,24077.301,188.123,100.0,81.358,0.5095,0.072,49.167,0.0,0.0,5931.444,1.4395,2.997,17430.287,161.5675,0.0,19.765,0.11,-4.0045,-0.006500000000000001,6.234,0.0,0.0,485.224,0.0,3.4735,1.646,0.029,30.25,0.0,0.0,3952.095,0.0,18.642,0.0,0.0,2.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7745,0.27849999999999997,105.578,3185.347,0.16,11748.93,-0.28,0.07900000000000001,19088.549,92.131,100.0,39.774,1.3385,0.0,0.0,2.887,0.0205,0.0,0.0,147.846,0.0,0.0,0.85,3185.347,1.3545,0.02,18.994,0.0,0.0,3035.644,0.0,11.438500000000001,15.896,0.051000000000000004,0.34550000000000003,0.0,0.0,63.453,0.0,0.254,10.491,0.054,0.501,0.0,0.0,132.794,0.0,0.556
95.105,2019,32375633.0,161408924528.0,9.971,0.0,0.0,0.0,1.544,0.05,0.316,0.433,186.47,-5.711,-0.106,1696.895,14.993,0.0,0.0,-4.104,-1.183,4166.35,40.7945,0.0,6.311,15.82,488.639,15.82,17.3305,4.423,4.028,2937.561,0.589,0.1815,0.1875,130.963,4.24,24077.301,188.123,26.802,81.358,0.5095,0.072,49.167,50.655,1.64,5931.444,1.4395,2.997,17430.287,161.5675,10.367,19.765,2.95,-4.0045,-0.006500000000000001,6.234,355.514,11.51,485.224,72.756,3.4735,1.646,0.029,30.25,357.676,11.58,3952.095,73.198,18.642,0.0,0.0,2.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7745,0.27849999999999997,105.578,80.307,2.6,11748.93,-6.743,-58.095,24818.625,803.519,16.435,39.774,1.3385,0.05,0.0,2.887,0.0205,1.544,0.0,147.846,0.316,0.0,0.85,488.639,1.3545,0.02,18.994,357.676,11.58,3035.644,73.198,11.438500000000001,15.896,0.051000000000000004,0.34550000000000003,0.618,0.02,63.453,0.126,0.254,10.491,0.054,0.501,0.0,0.0,132.794,0.0,0.556
0.055,2019,4442201.0,62427096792.0,9.971,0.0,0.0,0.0,0.64,0.01,0.11,0.433,501.75,-5.711,-0.106,1696.895,14.993,0.0,0.0,-4.104,-1.183,4166.35,40.7945,0.0,6.311,6.14,1967.863,4.785,17.3305,0.0,0.0,10254.706,0.918,0.1815,0.1875,894.482,1.76,24077.301,188.123,71.68299999999999,81.358,0.5095,0.072,49.167,0.0,0.0,5931.444,1.4395,2.997,17430.287,161.5675,0.0,19.765,1.44,-4.0045,-0.006500000000000001,6.234,65.026,0.295,485.224,10.479,3.4735,1.646,0.029,30.25,212.875,0.78,3952.095,28.513,18.642,0.0,0.0,2.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7745,0.27849999999999997,105.578,111.541,0.35,11748.93,-0.28,0.07900000000000001,19088.549,92.131,15.457999999999998,39.774,1.3385,0.01,0.0,2.887,0.0205,0.709,0.0,147.846,0.134,0.0,0.85,1854.303,1.3545,0.02,18.994,212.875,0.78,3035.644,26.19,11.438500000000001,15.896,0.051000000000000004,0.34550000000000003,4.293,0.02,63.453,0.545,0.254,10.491,0.054,0.501,0.0,0.0,132.794,0.0,0.556
3.027,2019,91377.0,62427096792.0,9.971,0.0,0.0,0.0,0.0,0.0,0.0,0.433,638.89,-5.711,-0.106,1696.895,14.993,0.0,0.0,-4.104,-1.183,4166.35,40.7945,0.0,6.311,0.36,3939.722,0.36,17.3305,3.746,0.109,33123.305,0.918,0.1815,0.1875,3830.285,0.35,24077.301,188.123,97.222,81.358,0.5095,0.072,49.167,0.0,0.0,5931.444,1.4395,2.997,17430.287,161.5675,0.0,19.765,0.23,-4.0045,-0.006500000000000001,6.234,0.0,0.0,485.224,0.0,3.4735,1.646,0.029,30.25,109.437,0.01,3952.095,2.778,18.642,0.0,0.0,2.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7745,0.27849999999999997,105.578,3830.285,0.35,11748.93,-0.28,0.07900000000000001,19088.549,92.131,97.222,39.774,1.3385,0.0,0.0,2.887,0.0205,0.0,0.0,147.846,0.0,0.0,0.85,3939.722,1.3545,0.02,18.994,109.437,0.01,3035.644,2.778,11.438500000000001,15.896,0.051000000000000004,0.34550000000000003,109.437,0.01,63.453,2.778,0.254,10.491,0.054,0.501,0.0,0.0,132.794,0.0,0.556
41.378,2019,2903975.0,35949092334.0,9.971,0.0,0.0,0.0,0.0,0.0,0.0,0.433,248.33,-5.711,-0.106,1696.895,14.993,0.0,0.0,-4.104,-1.183,4166.35,40.7945,0.0,6.311,6.53,2248.642,7.49,17.3305,5.919,2.312,14248.773,1.151,0.1815,0.1875,1050.285,3.05,24077.301,188.123,40.721,81.358,0.5095,0.072,49.167,1050.285,3.05,5931.444,1.4395,2.997,17430.287,161.5675,40.721,19.765,1.86,-4.0045,-0.006500000000000001,6.234,809.236,2.35,485.224,31.375,3.4735,1.646,0.029,30.25,1528.939,4.44,3952.095,59.279,18.642,-0.96,-14.701,2.958,0.0,0.0,699.042,2.03,0.0,27.103,0.0,0.7745,0.27849999999999997,105.578,0.0,0.0,11748.93,-0.28,0.07900000000000001,19088.549,92.131,0.0,39.774,1.3385,0.0,0.0,2.887,0.0205,0.0,0.0,147.846,0.0,0.0,0.85,2579.223,1.3545,0.02,18.994,829.897,2.41,3035.644,32.176,11.438500000000001,15.896,0.051000000000000004,0.34550000000000003,20.661,0.06,63.453,0.801,0.254,10.491,0.054,0.501,0.0,0.0,132.794,0.0,0.556
4.673,2019,107089.0,62427096792.0,9.971,0.0,0.0,0.0,0.0,0.0,0.0,0.433,545.46,-5.711,-0.106,1696.895,14.993,0.0,0.0,-4.104,-1.183,4166.35,40.7945,0.0,6.311,0.99,9244.647,0.99,17.3305,-4.738,-0.232,43634.25,0.918,0.1815,0.1875,7657.182,0.82,24077.301,188.123,82.828,81.358,0.5095,0.072,49.167,0.0,0.0,5931.444,1.4395,2.997,17430.287,161.5675,0.0,19.765,0.54,-4.0045,-0.006500000000000001,6.234,0.0,0.0,485.224,0.0,3.4735,1.646,0.029,30.25,1587.465,0.17,3952.095,17.172,18.642,0.0,0.0,2.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7745,0.27849999999999997,105.578,7657.182,0.82,11748.93,-0.28,0.07900000000000001,19088.549,92.131,82.828,39.774,1.3385,0.0,0.0,2.887,0.0205,0.0,0.0,147.846,0.0,0.0,0.85,9244.647,1.3545,0.02,18.994,1587.465,0.17,3035.644,17.172,11.438500000000001,15.896,0.051000000000000004,0.34550000000000003,280.141,0.03,63.453,3.03,0.254,10.491,0.054,0.501,1307.324,0.14,132.794,14.141,0.556
427.96,2019,8880876.0,388344674039.0,-0.065,-0.003,581.848,5.167,524.723,4.66,6.592,1.231,152.78,5.141,1.66,3822.222,33.945,168.902,1.5,-4.104,-1.183,4166.35,40.7945,2.122,8.09,73.82,8312.243,70.69,21.041,4.789,19.558,48188.984,1.102,3.015,8.083,1807.254,16.05,31094.922,276.15,22.705,65.811,2.458,2.135,89.004,1274.649,11.32,10022.03,1.4395,2.997,17430.287,161.5675,16.014,21.211,10.8,8.47,7.428,101.054,4597.52,40.83,11378.875,57.759,24.083,8.285,10.598,143.464,6152.546,54.64,16154.252,77.295,34.189,3.13,4.24,2.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,4.288,153.201,363.703,3.23,17250.668,-0.28,0.07900000000000001,19088.549,92.131,4.569,36.51,14.588,4.66,0.0,-5.565,-0.86,524.723,0.0,1642.668,6.592,0.0,3.477,7959.801,8.285,10.598,143.464,6152.546,54.64,16154.252,77.295,34.189,16.972,0.593,4.213,191.423,1.7,474.402,2.405,1.004,23.541,3.44,18.441,838.881,7.45,2076.46,10.539,4.395
185.891,2019,10110483.0,165653307401.0,9.971,0.0,0.0,0.0,9.891,0.1,0.385,0.0,667.82,-8.882,-0.001,0.761,0.008,0.0,0.0,-4.104,-1.183,4166.35,40.7945,0.0,0.004,24.6,2433.118,25.95,14.192,5.52,9.724,18385.926,1.122,5.94,10.151,2389.599,24.16,17908.027,181.059,93.102,97.549,9.0,9.734,117.892,2384.654,24.11,11660.408,27.613,51.797,23676.627,239.382,92.909,63.517,17.33,-11.493,-0.525,3.873,153.306,1.55,383.094,5.973,2.087,-8.052,-0.405,4.55,177.044,1.79,449.994,6.898,2.451,-1.35,-5.488,2.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666,0.418,63.159,4.945,0.05,6246.858,-3.162,-14.263,43207.93,436.853,0.193,34.028,0.306,0.1,0.0,20.777,0.053,9.891,0.0,30.275,0.385,0.0,0.165,2566.643,-8.052,-0.405,4.55,177.044,1.79,449.994,6.898,2.451,12.583,0.012,0.109,3.956,0.04,10.821,0.154,0.059,27.449,0.055,0.261,9.891,0.1,25.804,0.385,0.141
